device_id,sim_id,customer_id,first_seen_date,is_current,is_unauthorized,device_age_days,os_type,sim_change_count,linked_account_count,device_risk_score
DEV0000000,SIM0000000,CUST000000,2025-06-28,True,False,276,Android,0,1,0.027
DEV0000001,SIM0000001,CUST000001,2025-12-24,True,False,97,Android,1,1,0.291
DEV0000002,SIM0000002,CUST000002,2025-08-09,True,False,234,Android,1,1,0.109
DEV0000003,SIM0000003,CUST000003,2025-05-03,True,False,332,Android,0,1,0.357
DEV0000004,SIM0000004,CUST000004,2024-12-23,True,False,463,Android,0,1,0.167
DEV0000005,SIM0000005,CUST000005,2025-12-19,True,False,102,Android,0,1,0.158
DEV0000006,SIM0000006,CUST000006,2025-02-19,True,False,405,Android,0,1,0.101
DEV0000007,SIM0000007,CUST000007,2025-06-19,True,False,285,Android,0,1,0.229
DEV0000008,SIM0000008,CUST000008,2025-11-02,True,False,149,Android,1,1,0.181
DEV0000009,SIM0000009,CUST000009,2023-10-29,True,False,884,Android,0,1,0.064
DEV0000010,SIM0000010,CUST000010,2024-07-27,True,False,612,Android,0,1,0.266
DEV0000011,SIM0000011,CUST000011,2024-05-22,True,False,678,Android,3,1,0.048
DEV0000012,SIM0000012,CUST000012,2025-12-20,True,False,101,Android,0,1,0.285
DEV0000013,SIM0000013,CUST000013,2025-09-20,True,False,192,Android,1,1,0.134
DEV0000014,SIM0000014,CUST000014,2024-11-26,True,False,490,Android,0,1,0.129
DEV0000015,SIM0000015,CUST000015,2025-09-20,True,False,192,Android,1,1,0.448
DEV0000016,SIM0000016,CUST000016,2025-05-30,True,False,305,iOS,0,1,0.169
DEV0000017,SIM0000017,CUST000017,2025-07-05,True,False,269,Android,0,1,0.174
DEV0000018,SIM0000018,CUST000018,2024-12-21,True,False,465,Android,0,1,0.083
DEV0000019,SIM0000019,CUST000019,2021-05-10,True,False,1786,Android,0,1,0.088
DEV0000020,SIM0000020,CUST000020,2025-07-02,True,False,272,Android,0,1,0.013
DEV0000021,SIM0000021,CUST000021,2025-12-16,True,False,105,Android,0,1,0.292
DEV0000022,SIM0000022,CUST000022,2024-09-19,True,False,558,Android,1,1,0.164
DEV0000023,SIM0000023,CUST000023,2024-02-22,True,False,768,Android,0,1,0.111
DEV0000024,SIM0000024,CUST000024,2023-06-24,True,False,1011,Android,0,1,0.078
DEV0000025,SIM0000025,CUST000025,2024-11-17,True,False,499,Android,0,1,0.161
DEV0000026,SIM0000026,CUST000026,2025-02-17,True,False,407,Android,0,1,0.485
DEV0000027,SIM0000027,CUST000027,2024-11-08,True,False,508,iOS,0,1,0.266
DEV0000028,SIM0000028,CUST000028,2025-08-31,True,False,212,Android,0,1,0.152
DEV0000029,SIM0000029,CUST000029,2025-10-07,True,False,175,Android,1,1,0.075
DEV0000030,SIM0000030,CUST000030,2023-04-22,True,False,1074,iOS,0,1,0.135
DEV0000031,SIM0000031,CUST000031,2023-12-02,True,False,850,Android,1,1,0.228
DEV0000032,SIM0000032,CUST000032,2025-01-29,True,False,426,Android,0,1,0.088
DEV0000033,SIM0000033,CUST000033,2024-09-11,True,False,566,Android,0,1,0.119
DEV0000034,SIM0000034,CUST000034,2023-10-17,True,False,896,iOS,0,1,0.113
DEV0000035,SIM0000035,CUST000035,2023-08-03,True,False,971,Android,0,1,0.403
DEV0000036,SIM0000036,CUST000036,2025-04-26,True,False,339,Android,0,1,0.21
DEV0000037,SIM0000037,CUST000037,2025-11-08,True,False,143,Android,0,1,0.214
DEV0000038,SIM0000038,CUST000038,2025-12-11,True,False,110,Android,0,1,0.148
DEV0000039,SIM0000039,CUST000039,2024-04-07,True,False,723,Android,0,1,0.173
DEV0000040,SIM0000040,CUST000040,2024-01-09,True,False,812,iOS,0,1,0.191
DEV0000041,SIM0000041,CUST000041,2024-10-27,True,False,520,Android,1,1,0.05
DEV0000042,SIM0000042,CUST000042,2025-07-09,True,False,265,iOS,0,1,0.337
DEV0000043,SIM0000043,CUST000043,2025-06-12,True,False,292,Android,0,1,0.25
DEV0000044,SIM0000044,CUST000044,2025-03-28,True,False,368,Android,0,1,0.159
DEV0000045,SIM0000045,CUST000045,2022-12-02,True,False,1215,Android,0,1,0.086
DEV0000046,SIM0000046,CUST000046,2022-11-23,True,False,1224,Android,0,1,0.454
DEV0000047,SIM0000047,CUST000047,2025-12-03,True,False,118,iOS,0,1,0.287
DEV0000048,SIM0000048,CUST000048,2024-12-01,True,False,485,iOS,0,1,0.244
DEV0000049,SIM0000049,CUST000049,2020-11-26,True,False,1951,Android,0,1,0.253
DEV0000050,SIM0000050,CUST000050,2023-11-12,True,False,870,Android,0,1,0.162
DEV0000051,SIM0000051,CUST000051,2025-07-31,True,False,243,Android,0,1,0.079
DEV0000052,SIM0000052,CUST000052,2024-11-28,True,False,488,Android,0,1,0.338
DEV0000053,SIM0000053,CUST000053,2025-11-24,True,False,127,Android,0,1,0.203
DEV0000054,SIM0000054,CUST000054,2025-07-13,True,False,261,Android,0,1,0.126
DEV0000055,SIM0000055,CUST000055,2025-11-27,True,False,124,Android,0,1,0.213
DEV0000056,SIM0000056,CUST000056,2021-04-30,True,False,1796,Android,0,1,0.471
DEV0000057,SIM0000057,CUST000057,2025-11-15,True,False,136,Android,0,1,0.089
DEV0000058,SIM0000058,CUST000058,2025-11-12,True,False,139,Android,0,1,0.235
DEV0000059,SIM0000059,CUST000059,2025-09-22,True,False,190,Android,0,1,0.128
DEV0000060,SIM0000060,CUST000060,2022-03-10,True,False,1482,Android,0,1,0.207
DEV0000061,SIM0000061,CUST000061,2025-12-14,True,False,107,Android,0,1,0.13
DEV0000062,SIM0000062,CUST000062,2025-04-27,True,False,338,Android,0,1,0.173
DEV0000063,SIM0000063,CUST000063,2025-08-06,True,False,237,Android,0,1,0.233
DEV0000064,SIM0000064,CUST000064,2022-09-23,True,False,1285,Android,0,1,0.165
DEV0000065,SIM0000065,CUST000065,2021-03-23,True,False,1834,Android,0,1,0.214
DEV0000066,SIM0000066,CUST000066,2024-01-04,True,False,817,Android,1,1,0.185
DEV0000067,SIM0000067,CUST000067,2024-05-25,True,False,675,Android,0,1,0.107
DEV0000068,SIM0000068,CUST000068,2022-08-18,True,False,1321,Android,0,1,0.335
DEV0000069,SIM0000069,CUST000069,2025-03-14,True,False,382,Android,0,1,0.257
DEV0000070,SIM0000070,CUST000070,2023-09-17,True,False,926,Android,0,1,0.165
DEV0000071,SIM0000071,CUST000071,2025-11-04,True,False,147,Android,0,1,0.097
DEV0000072,SIM0000072,CUST000072,2023-06-08,True,False,1027,Android,0,1,0.139
DEV0000073,SIM0000073,CUST000073,2025-05-01,True,False,334,Android,0,1,0.248
DEV0000074,SIM0000074,CUST000074,2025-12-01,True,False,120,Android,0,1,0.204
DEV0000075,SIM0000075,CUST000075,2025-10-08,True,False,174,Android,1,1,0.202
DEV0000076,SIM0000076,CUST000076,2025-11-11,True,False,140,Android,2,1,0.091
DEV0000077,SIM0000077,CUST000077,2023-09-27,True,False,916,Android,1,1,0.302
DEV0000078,SIM0000078,CUST000078,2025-10-12,True,False,170,Android,1,1,0.504
DEV0000079,SIM0000079,CUST000079,2025-12-18,True,False,103,Android,0,1,0.165
DEV0000080,SIM0000080,CUST000080,2025-11-17,True,False,134,Android,0,1,0.202
DEV0000081,SIM0000081,CUST000081,2025-11-11,True,False,140,Android,0,1,0.365
DEV0000082,SIM0000082,CUST000082,2025-11-26,True,False,125,Android,0,1,0.233
DEV0000083,SIM0000083,CUST000083,2024-11-12,True,False,504,Android,0,1,0.17
DEV0000084,SIM0000084,CUST000084,2025-09-11,True,False,201,Android,0,1,0.258
DEV0000085,SIM0000085,CUST000085,2025-06-04,True,False,300,Android,0,1,0.094
DEV0000086,SIM0000086,CUST000086,2024-02-22,True,False,768,Android,0,1,0.226
DEV0000087,SIM0000087,CUST000087,2024-05-25,True,False,675,iOS,0,1,0.101
DEV0000088,SIM0000088,CUST000088,2025-11-14,True,False,137,iOS,1,1,0.327
DEV0000089,SIM0000089,CUST000089,2025-07-21,True,False,253,Android,0,1,0.127
DEV0000090,SIM0000090,CUST000090,2024-06-09,True,False,660,Android,0,1,0.157
DEV0000091,SIM0000091,CUST000091,2022-12-14,True,False,1203,Android,0,1,0.188
DEV0000092,SIM0000092,CUST000092,2025-11-02,True,False,149,Android,0,1,0.159
DEV0000093,SIM0000093,CUST000093,2025-07-08,True,False,266,Android,0,1,0.148
DEV0000094,SIM0000094,CUST000094,2025-04-28,True,False,337,Android,2,1,0.052
DEV0000095,SIM0000095,CUST000095,2023-05-30,True,False,1036,Android,0,1,0.118
DEV0000096,SIM0000096,CUST000096,2024-12-10,True,False,476,Android,0,1,0.169
DEV0000097,SIM0000097,CUST000097,2025-12-19,True,False,102,Android,1,1,0.143
DEV0000098,SIM0000098,CUST000098,2025-11-16,True,False,135,Android,0,1,0.285
DEV0000099,SIM0000099,CUST000099,2024-09-15,True,False,562,Android,0,1,0.108
DEV0000100,SIM0000100,CUST000100,2025-01-16,True,False,439,Android,1,1,0.326
DEV0000101,SIM0000101,CUST000101,2025-12-25,True,False,96,Android,0,1,0.11
DEV0000102,SIM0000102,CUST000102,2024-08-28,True,False,580,Android,0,1,0.35
DEV0000103,SIM0000103,CUST000103,2021-06-01,True,False,1764,iOS,0,1,0.218
DEV0000104,SIM0000104,CUST000104,2025-12-10,True,False,111,Android,1,1,0.342
DEV0000105,SIM0000105,CUST000105,2025-07-15,True,False,259,Android,1,1,0.136
DEV0000106,SIM0000106,CUST000106,2025-11-02,True,False,149,Android,0,1,0.105
DEV0000107,SIM0000107,CUST000107,2025-12-27,True,False,94,Android,1,1,0.207
DEV0000108,SIM0000108,CUST000108,2025-03-28,True,False,368,iOS,0,1,0.238
DEV0000109,SIM0000109,CUST000109,2025-12-18,True,False,103,Android,0,1,0.576
DEV0000110,SIM0000110,CUST000110,2025-03-10,True,False,386,Android,0,1,0.469
DEV0000111,SIM0000111,CUST000111,2024-11-14,True,False,502,Android,0,1,0.391
DEV0000112,SIM0000112,CUST000112,2025-09-18,True,False,194,Android,0,1,0.043
DEV0000113,SIM0000113,CUST000113,2024-08-07,True,False,601,Android,0,1,0.145
DEV0000114,SIM0000114,CUST000114,2025-08-16,True,False,227,Android,0,1,0.54
DEV0000115,SIM0000115,CUST000115,2025-01-10,True,False,445,Android,0,1,0.178
DEV0000116,SIM0000116,CUST000116,2025-08-15,True,False,228,Android,0,1,0.14
DEV0000117,SIM0000117,CUST000117,2024-11-26,True,False,490,Android,0,1,0.221
DEV0000118,SIM0000118,CUST000118,2025-10-18,True,False,164,Android,0,1,0.292
