source,target,amount,transaction_count
CUST000000,AGT00023,1332.38,1
CUST000000,AGT00102,636.47,1
CUST000000,AGT00181,824.65,1
CUST000000,AGT00215,902.25,1
CUST000000,AGT00222,1229.59,1
CUST000000,CUST000101,692.43,1
CUST000000,CUST000228,14272.11,1
CUST000000,CUST000259,921.16,1
CUST000000,CUST000911,1049.37,1
CUST000000,CUST001201,1040.15,1
CUST000000,CUST001610,571.24,1
CUST000000,CUST001623,592.92,1
CUST000000,CUST001638,534.32,1
CUST000000,CUST001707,669.49,1
CUST000000,CUST002121,911.84,1
CUST000000,CUST002356,971.32,1
CUST000000,CUST002394,503.66,1
CUST000000,CUST002667,232.28,1
CUST000000,CUST002685,590.17,1
CUST000000,CUST002858,856.59,1
CUST000000,CUST003510,403.21,1
CUST000000,CUST003642,407.23,1
CUST000000,CUST003849,1502.16,1
CUST000000,CUST004287,985.83,1
CUST000001,AGT00001,594.25,1
CUST000001,AGT00002,352.92,1
CUST000001,AGT00003,507.29,1
CUST000001,AGT00009,976.6,1
CUST000001,AGT00017,1020.54,1
CUST000001,AGT00039,436.14,1
CUST000001,AGT00044,1136.15,2
CUST000001,AGT00057,345.0,1
CUST000001,AGT00061,1390.88,1
CUST000001,AGT00081,148.41,1
CUST000001,AGT00097,1097.51,1
CUST000001,AGT00101,925.36,1
CUST000001,AGT00104,1497.44,1
CUST000001,AGT00105,245.25,1
CUST000001,AGT00112,468.89,1
CUST000001,AGT00134,1005.79,1
CUST000001,AGT00137,444.05,1
CUST000001,AGT00138,201.11,1
CUST000001,AGT00143,1115.38,1
CUST000001,AGT00161,517.81,1
CUST000001,AGT00179,495.97,1
CUST000001,AGT00193,273.6,1
CUST000001,AGT00198,297.25,1
CUST000001,AGT00204,668.77,1
CUST000001,AGT00212,656.73,1
CUST000001,AGT00225,317.4,1
CUST000001,AGT00227,935.03,1
CUST000001,AGT00231,328.38,1
CUST000001,AGT00257,704.38,1
CUST000001,AGT00259,519.94,1
CUST000001,AGT00264,280.82,1
CUST000001,AGT00267,627.76,1
CUST000001,AGT00271,337.45,1
CUST000001,AGT00274,418.44,1
CUST000001,AGT00290,524.59,1
CUST000001,AGT00295,1444.51,2
CUST000001,CUST000121,2038.84,1
CUST000001,CUST000221,611.19,1
CUST000001,CUST000247,234.98,1
CUST000001,CUST000266,269.83,1
CUST000001,CUST000299,580.1,1
CUST000001,CUST000424,288.86,1
CUST000001,CUST000550,777.74,1
CUST000001,CUST000571,306.15,1
CUST000001,CUST000617,499.05,1
CUST000001,CUST000637,305.13,1
CUST000001,CUST000665,190.94,1
CUST000001,CUST000933,732.44,1
CUST000001,CUST000937,251.78,1
CUST000001,CUST000966,292.86,1
CUST000001,CUST001162,1417.76,1
CUST000001,CUST001201,300.14,1
CUST000001,CUST001260,960.2,1
CUST000001,CUST001355,1598.73,1
CUST000001,CUST001385,1196.16,1
CUST000001,CUST001497,173.27,1
CUST000001,CUST001499,505.85,1
CUST000001,CUST001636,278.92,1
CUST000001,CUST001819,360.36,1
CUST000001,CUST001920,340.69,1
CUST000001,CUST001934,205.33,1
CUST000001,CUST001944,521.68,1
CUST000001,CUST002009,558.79,1
CUST000001,CUST002069,675.89,1
CUST000001,CUST002180,391.95,1
CUST000001,CUST002224,652.73,1
CUST000001,CUST002281,449.3,1
CUST000001,CUST002351,825.93,1
CUST000001,CUST002479,458.84,1
CUST000001,CUST002520,343.72,1
CUST000001,CUST002522,324.11,1
CUST000001,CUST002563,293.51,1
CUST000001,CUST002643,520.95,1
CUST000001,CUST002746,482.12,1
CUST000001,CUST002785,580.45,1
CUST000001,CUST003005,4882.76,1
CUST000001,CUST003073,375.07,1
CUST000001,CUST003172,201.28,1
CUST000001,CUST003184,588.09,1
CUST000001,CUST003314,668.52,1
CUST000001,CUST003319,389.49,1
CUST000001,CUST003361,329.45,1
CUST000001,CUST003363,438.72,1
CUST000001,CUST003424,518.61,1
CUST000001,CUST003461,592.48,1
CUST000001,CUST003500,471.64,1
CUST000001,CUST003509,496.55,1
CUST000001,CUST003627,540.31,1
CUST000001,CUST003683,221.84,1
CUST000001,CUST003722,823.72,1
CUST000001,CUST003744,1444.57,1
CUST000001,CUST003798,393.97,1
CUST000001,CUST003894,300.68,1
CUST000001,CUST003907,443.76,1
CUST000001,CUST004103,282.49,1
CUST000001,CUST004115,354.84,1
CUST000001,CUST004169,394.57,1
CUST000001,CUST004186,372.21,1
CUST000001,CUST004191,388.6,1
CUST000001,CUST004193,470.36,1
CUST000001,CUST004199,730.96,1
CUST000001,CUST004235,144.4,1
CUST000001,CUST004322,704.23,1
CUST000001,CUST004391,610.8,1
CUST000001,CUST004533,389.72,1
CUST000001,CUST004604,602.7,1
CUST000001,CUST004625,2633.93,1
CUST000001,CUST004633,267.5,1
CUST000001,CUST004671,502.55,1
CUST000001,CUST004691,530.31,1
CUST000001,CUST004707,822.05,1
CUST000001,CUST004753,188.73,1
CUST000001,CUST004833,646.58,1
CUST000001,CUST004850,328.18,1
CUST000001,CUST004897,255.85,1
CUST000001,CUST004905,636.16,1
CUST000002,AGT00033,1407.04,1
CUST000002,AGT00152,1403.41,1
CUST000002,AGT00296,1310.23,1
CUST000002,CUST000194,1883.8,1
CUST000002,CUST000247,825.14,1
CUST000002,CUST000392,2146.92,1
CUST000002,CUST000925,1048.1,1
CUST000002,CUST001135,11709.38,1
CUST000002,CUST001230,880.0,1
CUST000002,CUST001506,1770.69,1
CUST000002,CUST002257,840.42,1
CUST000002,CUST002424,856.94,1
CUST000002,CUST003396,1037.97,1
CUST000002,CUST003749,1010.22,1
CUST000002,CUST004313,1315.31,1
CUST000002,CUST004418,1463.1,1
CUST000002,CUST004422,1433.05,1
CUST000002,CUST004852,1061.59,1
CUST000002,CUST004907,807.9,1
CUST000003,AGT00008,816.49,1
CUST000003,AGT00009,318.74,1
CUST000003,AGT00030,933.23,1
CUST000003,AGT00073,619.91,1
CUST000003,AGT00089,992.5,1
CUST000003,AGT00094,807.7,1
CUST000003,AGT00127,942.82,1
CUST000003,AGT00151,552.77,1
CUST000003,AGT00233,300.61,1
CUST000003,CUST000902,1630.0,1
CUST000003,CUST001089,473.61,1
CUST000003,CUST001279,909.2,1
CUST000003,CUST001463,1035.01,1
CUST000003,CUST001476,10130.95,1
CUST000003,CUST002167,473.45,1
CUST000003,CUST002181,742.47,1
CUST000003,CUST002405,973.29,1
CUST000003,CUST002525,361.29,1
CUST000003,CUST002671,467.1,1
CUST000003,CUST003063,710.42,1
CUST000003,CUST003327,957.99,1
CUST000003,CUST003677,484.94,1
CUST000003,CUST003969,1109.97,1
CUST000003,CUST004275,1148.16,1
CUST000003,CUST004566,643.64,1
CUST000003,CUST004913,1332.58,1
CUST000004,AGT00005,739.94,1
CUST000004,AGT00006,1391.7,1
CUST000004,AGT00008,1698.55,1
CUST000004,AGT00015,830.24,1
CUST000004,AGT00034,1420.66,1
CUST000004,AGT00069,1276.28,1
CUST000004,AGT00113,1014.32,1
CUST000004,AGT00116,1610.2,1
CUST000004,AGT00119,1762.48,1
CUST000004,AGT00130,1105.72,1
CUST000004,AGT00131,1719.61,1
CUST000004,AGT00152,1894.59,1
CUST000004,AGT00167,513.25,1
CUST000004,AGT00188,2879.54,1
CUST000004,AGT00190,1081.06,1
CUST000004,AGT00198,1027.18,1
CUST000004,AGT00204,1348.44,1
CUST000004,AGT00231,1132.54,1
CUST000004,AGT00237,1065.45,1
CUST000004,AGT00253,565.62,1
CUST000004,AGT00270,1998.11,1
CUST000004,AGT00272,2594.7,1
CUST000004,AGT00280,698.53,1
CUST000004,AGT00294,1805.66,1
CUST000004,CUST000133,1260.59,1
CUST000004,CUST000253,775.34,1
CUST000004,CUST000314,1646.46,1
CUST000004,CUST000579,838.52,1
CUST000004,CUST000595,1060.2,1
CUST000004,CUST000603,783.9,1
CUST000004,CUST001239,905.78,1
CUST000004,CUST001267,1284.01,1
CUST000004,CUST001426,1765.44,1
CUST000004,CUST001549,1275.73,1
CUST000004,CUST001553,710.77,1
CUST000004,CUST001618,882.33,1
CUST000004,CUST002087,827.04,1
CUST000004,CUST002228,1598.54,1
CUST000004,CUST002328,775.83,1
CUST000004,CUST002372,4772.82,1
CUST000004,CUST002542,1980.91,1
