node_id,node_type
CUST000000,customer
CUST000001,customer
CUST000002,customer
CUST000003,customer
CUST000004,customer
CUST000005,customer
CUST000006,customer
CUST000007,customer
CUST000008,customer
CUST000009,customer
CUST000010,customer
CUST000011,customer
CUST000012,customer
CUST000013,customer
CUST000014,customer
CUST000015,customer
CUST000016,customer
CUST000017,customer
CUST000018,customer
CUST000019,customer
CUST000020,customer
CUST000021,customer
CUST000022,customer
CUST000023,customer
CUST000024,customer
CUST000025,customer
CUST000026,customer
CUST000027,customer
CUST000028,customer
CUST000029,customer
CUST000030,customer
CUST000031,customer
CUST000032,customer
CUST000033,customer
CUST000034,customer
CUST000035,customer
CUST000036,customer
CUST000037,customer
CUST000038,customer
CUST000039,customer
CUST000040,customer
CUST000041,customer
CUST000042,customer
CUST000043,customer
CUST000044,customer
CUST000045,customer
CUST000046,customer
CUST000047,customer
CUST000048,customer
CUST000049,customer
CUST000050,customer
CUST000051,customer
CUST000052,customer
CUST000053,customer
CUST000054,customer
CUST000055,customer
CUST000056,customer
CUST000057,customer
CUST000058,customer
CUST000059,customer
CUST000060,customer
CUST000061,customer
CUST000062,customer
CUST000063,customer
CUST000064,customer
CUST000065,customer
CUST000066,customer
CUST000067,customer
CUST000068,customer
CUST000069,customer
CUST000070,customer
CUST000071,customer
CUST000072,customer
CUST000073,customer
CUST000074,customer
CUST000075,customer
CUST000076,customer
CUST000077,customer
CUST000078,customer
CUST000079,customer
CUST000080,customer
CUST000081,customer
CUST000082,customer
CUST000083,customer
CUST000084,customer
CUST000085,customer
CUST000086,customer
CUST000087,customer
CUST000088,customer
CUST000089,customer
CUST000090,customer
CUST000091,customer
CUST000092,customer
CUST000093,customer
CUST000094,customer
CUST000095,customer
CUST000096,customer
CUST000097,customer
CUST000098,customer
CUST000099,customer
CUST000100,customer
CUST000101,customer
CUST000102,customer
CUST000103,customer
CUST000104,customer
CUST000105,customer
CUST000106,customer
CUST000107,customer
CUST000108,customer
CUST000109,customer
CUST000110,customer
CUST000111,customer
CUST000112,customer
CUST000113,customer
CUST000114,customer
CUST000115,customer
CUST000116,customer
CUST000117,customer
CUST000118,customer
CUST000119,customer
CUST000120,customer
CUST000121,customer
CUST000122,customer
CUST000123,customer
CUST000124,customer
CUST000125,customer
CUST000126,customer
CUST000127,customer
CUST000128,customer
CUST000129,customer
CUST000130,customer
CUST000131,customer
CUST000132,customer
CUST000133,customer
CUST000134,customer
CUST000135,customer
CUST000136,customer
CUST000137,customer
CUST000138,customer
CUST000139,customer
CUST000140,customer
CUST000141,customer
CUST000142,customer
CUST000143,customer
CUST000144,customer
CUST000145,customer
CUST000146,customer
CUST000147,customer
CUST000148,customer
CUST000149,customer
CUST000150,customer
CUST000151,customer
CUST000152,customer
CUST000153,customer
CUST000154,customer
CUST000155,customer
CUST000156,customer
CUST000157,customer
CUST000158,customer
CUST000159,customer
CUST000160,customer
CUST000161,customer
CUST000162,customer
CUST000163,customer
CUST000164,customer
CUST000165,customer
CUST000166,customer
CUST000167,customer
CUST000168,customer
CUST000169,customer
CUST000170,customer
CUST000171,customer
CUST000172,customer
CUST000173,customer
CUST000174,customer
CUST000175,customer
CUST000176,customer
CUST000177,customer
CUST000178,customer
CUST000179,customer
CUST000180,customer
CUST000181,customer
CUST000182,customer
CUST000183,customer
CUST000184,customer
CUST000185,customer
CUST000186,customer
CUST000187,customer
CUST000188,customer
CUST000189,customer
CUST000190,customer
CUST000191,customer
CUST000192,customer
CUST000193,customer
CUST000194,customer
CUST000195,customer
CUST000196,customer
CUST000197,customer
CUST000198,customer
CUST000199,customer
CUST000200,customer
CUST000201,customer
CUST000202,customer
CUST000203,customer
CUST000204,customer
CUST000205,customer
CUST000206,customer
CUST000207,customer
CUST000208,customer
CUST000209,customer
CUST000210,customer
CUST000211,customer
CUST000212,customer
CUST000213,customer
CUST000214,customer
CUST000215,customer
CUST000216,customer
CUST000217,customer
CUST000218,customer
CUST000219,customer
CUST000220,customer
CUST000221,customer
CUST000222,customer
CUST000223,customer
CUST000224,customer
CUST000225,customer
CUST000226,customer
CUST000227,customer
CUST000228,customer
CUST000229,customer
CUST000230,customer
CUST000231,customer
CUST000232,customer
CUST000233,customer
CUST000234,customer
CUST000235,customer
CUST000236,customer
CUST000237,customer
CUST000238,customer
CUST000239,customer
CUST000240,customer
CUST000241,customer
CUST000242,customer
CUST000243,customer
CUST000244,customer
CUST000245,customer
CUST000246,customer
CUST000247,customer
CUST000248,customer
CUST000249,customer
CUST000250,customer
CUST000251,customer
CUST000252,customer
CUST000253,customer
CUST000254,customer
CUST000255,customer
CUST000256,customer
CUST000257,customer
CUST000258,customer
CUST000259,customer
CUST000260,customer
CUST000261,customer
CUST000262,customer
CUST000263,customer
CUST000264,customer
CUST000265,customer
CUST000266,customer
CUST000267,customer
CUST000268,customer
CUST000269,customer
CUST000270,customer
CUST000271,customer
CUST000272,customer
CUST000273,customer
CUST000274,customer
CUST000275,customer
CUST000276,customer
CUST000277,customer
CUST000278,customer
CUST000279,customer
CUST000280,customer
CUST000281,customer
CUST000282,customer
CUST000283,customer
CUST000284,customer
CUST000285,customer
CUST000286,customer
CUST000287,customer
CUST000288,customer
CUST000289,customer
CUST000290,customer
CUST000291,customer
CUST000292,customer
CUST000293,customer
CUST000294,customer
CUST000295,customer
CUST000296,customer
CUST000297,customer
CUST000298,customer
CUST000299,customer
CUST000300,customer
CUST000301,customer
CUST000302,customer
CUST000303,customer
CUST000304,customer
CUST000305,customer
CUST000306,customer
CUST000307,customer
CUST000308,customer
CUST000309,customer
CUST000310,customer
CUST000311,customer
CUST000312,customer
CUST000313,customer
CUST000314,customer
CUST000315,customer
CUST000316,customer
CUST000317,customer
CUST000318,customer
CUST000319,customer
CUST000320,customer
CUST000321,customer
CUST000322,customer
CUST000323,customer
CUST000324,customer
CUST000325,customer
CUST000326,customer
CUST000327,customer
CUST000328,customer
CUST000329,customer
CUST000330,customer
CUST000331,customer
CUST000332,customer
CUST000333,customer
CUST000334,customer
CUST000335,customer
CUST000336,customer
CUST000337,customer
CUST000338,customer
CUST000339,customer
CUST000340,customer
CUST000341,customer
CUST000342,customer
CUST000343,customer
CUST000344,customer
CUST000345,customer
CUST000346,customer
CUST000347,customer
CUST000348,customer
CUST000349,customer
CUST000350,customer
CUST000351,customer
CUST000352,customer
CUST000353,customer
CUST000354,customer
CUST000355,customer
CUST000356,customer
CUST000357,customer
CUST000358,customer
CUST000359,customer
CUST000360,customer
CUST000361,customer
CUST000362,customer
CUST000363,customer
CUST000364,customer
CUST000365,customer
CUST000366,customer
CUST000367,customer
CUST000368,customer
CUST000369,customer
CUST000370,customer
CUST000371,customer
CUST000372,customer
CUST000373,customer
CUST000374,customer
CUST000375,customer
CUST000376,customer
CUST000377,customer
CUST000378,customer
CUST000379,customer
CUST000380,customer
CUST000381,customer
CUST000382,customer
CUST000383,customer
CUST000384,customer
CUST000385,customer
CUST000386,customer
CUST000387,customer
CUST000388,customer
CUST000389,customer
CUST000390,customer
CUST000391,customer
CUST000392,customer
CUST000393,customer
CUST000394,customer
CUST000395,customer
CUST000396,customer
CUST000397,customer
CUST000398,customer
CUST000399,customer
CUST000400,customer
CUST000401,customer
CUST000402,customer
CUST000403,customer
CUST000404,customer
CUST000405,customer
CUST000406,customer
CUST000407,customer
CUST000408,customer
CUST000409,customer
CUST000410,customer
CUST000411,customer
CUST000412,customer
CUST000413,customer
CUST000414,customer
CUST000415,customer
CUST000416,customer
CUST000417,customer
CUST000418,customer
CUST000419,customer
CUST000420,customer
CUST000421,customer
CUST000422,customer
CUST000423,customer
CUST000424,customer
CUST000425,customer
CUST000426,customer
CUST000427,customer
CUST000428,customer
CUST000429,customer
CUST000430,customer
CUST000431,customer
CUST000432,customer
CUST000433,customer
CUST000434,customer
CUST000435,customer
CUST000436,customer
CUST000437,customer
CUST000438,customer
CUST000439,customer
CUST000440,customer
CUST000441,customer
CUST000442,customer
CUST000443,customer
CUST000444,customer
CUST000445,customer
CUST000446,customer
CUST000447,customer
CUST000448,customer
CUST000449,customer
CUST000450,customer
CUST000451,customer
CUST000452,customer
CUST000453,customer
CUST000454,customer
CUST000455,customer
CUST000456,customer
CUST000457,customer
CUST000458,customer
CUST000459,customer
CUST000460,customer
CUST000461,customer
CUST000462,customer
CUST000463,customer
CUST000464,customer
CUST000465,customer
CUST000466,customer
CUST000467,customer
CUST000468,customer
CUST000469,customer
CUST000470,customer
CUST000471,customer
CUST000472,customer
CUST000473,customer
CUST000474,customer
CUST000475,customer
CUST000476,customer
CUST000477,customer
CUST000478,customer
CUST000479,customer
CUST000480,customer
CUST000481,customer
CUST000482,customer
CUST000483,customer
CUST000484,customer
CUST000485,customer
CUST000486,customer
CUST000487,customer
CUST000488,customer
CUST000489,customer
CUST000490,customer
CUST000491,customer
CUST000492,customer
CUST000493,customer
CUST000494,customer
CUST000495,customer
CUST000496,customer
CUST000497,customer
CUST000498,customer
CUST000499,customer
CUST000500,customer
CUST000501,customer
CUST000502,customer
CUST000503,customer
CUST000504,customer
CUST000505,customer
CUST000506,customer
CUST000507,customer
CUST000508,customer
CUST000509,customer
CUST000510,customer
CUST000511,customer
CUST000512,customer
CUST000513,customer
CUST000514,customer
CUST000515,customer
CUST000516,customer
CUST000517,customer
CUST000518,customer
CUST000519,customer
CUST000520,customer
CUST000521,customer
CUST000522,customer
CUST000523,customer
CUST000524,customer
CUST000525,customer
CUST000526,customer
CUST000527,customer
CUST000528,customer
CUST000529,customer
CUST000530,customer
CUST000531,customer
CUST000532,customer
CUST000533,customer
CUST000534,customer
CUST000535,customer
CUST000536,customer
CUST000537,customer
CUST000538,customer
CUST000539,customer
CUST000540,customer
CUST000541,customer
CUST000542,customer
CUST000543,customer
CUST000544,customer
CUST000545,customer
CUST000546,customer
CUST000547,customer
CUST000548,customer
CUST000549,customer
CUST000550,customer
CUST000551,customer
CUST000552,customer
CUST000553,customer
CUST000554,customer
CUST000555,customer
CUST000556,customer
CUST000557,customer
CUST000558,customer
CUST000559,customer
CUST000560,customer
CUST000561,customer
CUST000562,customer
CUST000563,customer
CUST000564,customer
CUST000565,customer
CUST000566,customer
CUST000567,customer
CUST000568,customer
CUST000569,customer
CUST000570,customer
CUST000571,customer
CUST000572,customer
CUST000573,customer
CUST000574,customer
CUST000575,customer
CUST000576,customer
CUST000577,customer
CUST000578,customer
CUST000579,customer
CUST000580,customer
CUST000581,customer
CUST000582,customer
CUST000583,customer
CUST000584,customer
CUST000585,customer
CUST000586,customer
CUST000587,customer
CUST000588,customer
CUST000589,customer
CUST000590,customer
CUST000591,customer
CUST000592,customer
CUST000593,customer
CUST000594,customer
CUST000595,customer
CUST000596,customer
CUST000597,customer
CUST000598,customer
CUST000599,customer
CUST000600,customer
